"Content Area","Standard","Strand","Split","By End Of Grade","Content Statement","Cpi Num","Cumulative Progress Indicator"
"CareersAdhoc__Careers_Adhoc"," ",,,," ",,
,"1__Graphic Designer","A__Jobs",,,"None",,
,,"B__Print",,,"None",,
,,"C__Web",,,"None",,
,"2__Web Developer","A__Jobs",,,"None",,
,,"B__Visible",,,"None",,
,,"C__Support",,,"None",,
